id,city,temperature,humidity,description
1363,Salvador,25.4,93,neve
1364,Brasília,39.5,51,nuvens quebradas
1365,São Luís,32.8,52,chuva
1366,Guarulhos,32.0,90,neve
1367,Fortaleza,27.8,64,chuva leve
1368,Manaus,29.8,66,neve
1369,Guarulhos,37.2,72,nuvens quebradas
1370,Guarulhos,31.8,60,névoa
1371,Duque de Caxias,17.1,37,neve
1372,Maceió,18.0,93,céu limpo
1373,Belo Horizonte,10.7,66,nuvens dispersas
1374,Goiania,29.2,43,trovoada
1375,Maceió,-1.2,22,nuvens quebradas
1376,Teresina,18.6,35,nuvens quebradas
1377,Guarulhos,23.1,74,névoa
1378,Fortaleza,21.7,32,nuvens quebradas
1379,Campinas,-3.6,64,trovoada
1380,Goiania,-1.3,71,nuvens quebradas
1381,Belém,10.4,58,chuva leve
1382,Porto Alegre,-2.4,88,chuva leve
1383,Guarulhos,17.2,73,chuva
1384,Natal,1.6,38,trovoada
1385,Belém,8.2,93,chuva
1386,Fortaleza,31.6,80,céu limpo
1387,Duque de Caxias,37.1,43,céu limpo
1388,Maceió,10.7,26,céu limpo
1389,Salvador,2.9,30,trovoada
1390,Curitiba,26.1,79,chuva
1391,Guarulhos,20.3,49,neve
1392,Rio de Janeiro,5.4,98,nuvens dispersas
1393,São Luís,10.4,24,trovoada
1394,Belo Horizonte,10.8,39,céu limpo
1395,São Gonçalo,2.8,62,poucas nuvens
1396,Porto Alegre,26.9,62,névoa
1397,Salvador,6.2,89,nuvens quebradas
1398,Natal,29.2,92,céu limpo
1399,Salvador,6.1,100,chuva leve
1400,São Gonçalo,36.1,86,névoa
1401,Teresina,-4.9,89,chuva
1402,Teresina,-2.0,43,chuva leve
1403,Natal,8.2,79,poucas nuvens
1404,Campinas,-1.5,96,nuvens quebradas
1405,Belo Horizonte,20.4,55,poucas nuvens
1406,Salvador,36.6,52,nuvens dispersas
1407,Recife,35.7,24,céu limpo
1408,Belo Horizonte,13.1,74,chuva leve
1409,Belo Horizonte,11.5,78,céu limpo
1410,São Paulo,39.8,83,neve
1411,Salvador,39.6,20,neve
1412,São Luís,13.4,40,nuvens quebradas
1413,Campinas,11.9,58,chuva leve
1414,Brasília,14.6,73,chuva
1415,Maceió,31.8,93,chuva
1416,Fortaleza,0.3,74,chuva leve
1417,Manaus,33.1,85,nuvens quebradas
1418,Duque de Caxias,-1.7,80,nuvens quebradas
1419,Natal,22.7,24,nuvens quebradas
1420,Natal,30.7,91,neve
1421,Belém,31.1,82,neve
1422,Fortaleza,-3.3,86,céu limpo
1423,Curitiba,30.1,21,poucas nuvens
1424,São Gonçalo,4.2,85,céu limpo
1425,São Luís,25.0,84,nuvens dispersas
1426,Teresina,35.6,61,nuvens quebradas
1427,Guarulhos,36.8,34,trovoada
1428,São Gonçalo,19.5,33,chuva leve
1429,Guarulhos,10.5,76,céu limpo
1430,Rio de Janeiro,21.9,72,nuvens dispersas
1431,Manaus,26.8,49,céu limpo
1432,Natal,23.3,68,poucas nuvens
1433,Belém,38.9,75,trovoada
1434,Manaus,28.6,90,chuva leve
1435,Recife,2.1,38,nuvens dispersas
1436,Guarulhos,28.3,35,nuvens dispersas
1437,Manaus,21.0,33,chuva
1438,Brasília,39.3,66,trovoada
1439,São Paulo,23.8,23,neve
1440,Belém,33.4,21,neve
1441,Teresina,23.5,73,névoa
1442,Recife,-2.2,90,chuva
1443,Teresina,23.1,88,poucas nuvens
1444,Salvador,-0.7,84,chuva
1445,São Luís,28.7,25,poucas nuvens
1446,Porto Alegre,24.2,54,trovoada
1447,Natal,6.7,79,chuva leve
1448,Brasília,4.2,33,nuvens dispersas
1449,Belo Horizonte,26.8,98,trovoada
1450,São Paulo,2.2,78,neve
1451,Teresina,35.9,89,trovoada
1452,Guarulhos,19.4,84,chuva
1453,Belo Horizonte,32.5,37,chuva leve
1454,Rio de Janeiro,28.4,47,neve
1455,Goiania,39.0,89,névoa
1456,São Paulo,36.9,50,chuva leve
1457,Porto Alegre,10.4,75,neve
1458,São Gonçalo,19.7,91,névoa
1459,Belo Horizonte,3.6,62,poucas nuvens
1460,Guarulhos,25.7,82,trovoada
1461,Rio de Janeiro,3.2,83,trovoada
1462,Curitiba,7.1,87,poucas nuvens
1463,Recife,12.5,46,céu limpo
1464,Campinas,-0.6,92,poucas nuvens
1465,São Paulo,38.8,60,poucas nuvens
1466,Duque de Caxias,27.6,50,neve
1467,Fortaleza,28.2,49,chuva
1468,Recife,32.6,67,céu limpo
1469,Porto Alegre,38.8,34,nuvens dispersas
1470,Recife,-3.2,20,neve
1471,Campinas,32.2,44,nuvens quebradas
1472,Goiania,3.1,73,neve
1473,São Paulo,6.1,23,nuvens dispersas
1474,Duque de Caxias,-0.9,27,nuvens dispersas
1475,Porto Alegre,2.7,23,trovoada
1476,Belém,23.5,96,neve
1477,São Paulo,23.5,88,névoa
1478,São Luís,29.8,20,neve
1479,Porto Alegre,34.8,42,chuva leve
1480,Duque de Caxias,7.1,20,névoa
1481,Guarulhos,31.6,66,nuvens dispersas
1482,Rio de Janeiro,25.3,70,chuva leve
1483,Natal,14.6,24,poucas nuvens
1484,Duque de Caxias,3.8,87,chuva leve
1485,Natal,5.6,82,neve
1486,Duque de Caxias,31.7,61,chuva leve
1487,Goiania,33.7,99,céu limpo
1488,Belo Horizonte,33.4,23,céu limpo
1489,Fortaleza,23.0,86,neve
1490,Natal,29.4,77,chuva leve
1491,Recife,6.6,27,névoa
1492,São Gonçalo,20.8,60,nuvens quebradas
1493,Belo Horizonte,-3.4,75,poucas nuvens
1494,Goiania,28.3,43,chuva
1495,Guarulhos,37.8,23,neve
1496,São Luís,14.0,31,chuva leve
1497,Manaus,9.0,100,névoa
1498,Recife,-0.7,86,trovoada
1499,São Gonçalo,27.9,96,chuva leve
1500,Salvador,25.9,55,trovoada
1501,Brasília,32.5,76,trovoada
1502,Curitiba,25.8,87,trovoada
1503,Teresina,38.3,86,chuva leve
1504,Guarulhos,7.4,34,céu limpo
1505,Teresina,-1.7,48,céu limpo
1506,Duque de Caxias,-1.9,26,nuvens dispersas
1507,Belo Horizonte,18.3,81,chuva
1508,Natal,38.8,60,trovoada
1509,Teresina,28.6,35,céu limpo
1510,Campinas,2.8,95,trovoada
1511,Guarulhos,4.5,48,trovoada
1512,Porto Alegre,-1.5,36,chuva
1513,São Luís,17.1,55,céu limpo
1514,Recife,7.2,87,chuva
1515,São Gonçalo,-4.9,97,névoa
1516,Natal,-1.3,93,chuva leve
1517,São Luís,-2.8,67,céu limpo
1518,Fortaleza,22.7,24,névoa
1519,Maceió,39.8,96,céu limpo
1520,Belém,0.6,53,chuva leve
1521,São Gonçalo,26.3,73,nuvens quebradas
1522,Campinas,-4.0,70,trovoada
1523,Curitiba,24.9,60,chuva
1524,Manaus,30.0,95,neve
1525,São Paulo,10.1,59,nuvens dispersas
1526,São Luís,14.2,55,neve
1527,Porto Alegre,28.4,100,nuvens dispersas
1528,Manaus,26.8,53,nuvens dispersas
1529,Natal,20.0,34,nuvens quebradas
1530,São Paulo,-3.3,80,chuva
1531,Rio de Janeiro,9.6,53,névoa
1532,São Gonçalo,5.8,34,nuvens quebradas
1533,Campinas,12.4,44,trovoada
1534,Natal,7.1,20,chuva leve
1535,Maceió,36.1,80,trovoada
1536,Rio de Janeiro,39.3,75,névoa
1537,Maceió,7.8,99,trovoada
1538,Natal,13.3,85,chuva
1539,Maceió,-0.9,90,nuvens dispersas
1540,Duque de Caxias,28.8,35,neve
1541,Maceió,28.1,54,céu limpo
1542,Brasília,-4.7,43,nuvens dispersas
1543,Duque de Caxias,10.7,67,trovoada
1544,Porto Alegre,18.6,84,poucas nuvens
1545,São Gonçalo,30.2,27,trovoada
1546,Salvador,23.2,69,névoa
1547,Porto Alegre,7.2,99,nuvens dispersas
1548,Belém,39.3,100,neve
1549,Brasília,3.9,62,chuva
1550,São Paulo,31.9,69,névoa
1551,São Luís,17.5,39,céu limpo
1552,Teresina,14.0,69,nuvens quebradas
1553,Guarulhos,-0.8,82,nuvens dispersas
1554,Guarulhos,10.1,64,trovoada
1555,São Luís,3.7,28,neve
1556,Maceió,36.0,46,céu limpo
1557,São Luís,39.6,28,neve
1558,Guarulhos,6.7,58,poucas nuvens
1559,Brasília,33.1,40,nuvens dispersas
1560,Salvador,0.1,44,neve
1561,Belém,20.7,59,chuva
1562,Maceió,39.6,73,chuva
1563,Fortaleza,9.4,54,nuvens dispersas
1564,Belo Horizonte,31.1,66,poucas nuvens
1565,Rio de Janeiro,1.3,29,nuvens dispersas
1566,Duque de Caxias,-3.0,87,céu limpo
1567,Porto Alegre,21.0,100,chuva leve
1568,Manaus,14.4,91,neve
1569,Manaus,28.0,22,trovoada
1570,Belo Horizonte,19.3,80,nuvens quebradas
1571,Salvador,10.2,70,neve
1572,Belém,15.8,63,poucas nuvens
1573,Rio de Janeiro,20.7,32,nuvens dispersas
1574,Salvador,15.4,97,céu limpo
1575,Curitiba,35.9,60,poucas nuvens
1576,São Luís,1.9,76,nuvens quebradas
1577,Curitiba,5.8,25,chuva leve
1578,Brasília,18.7,77,chuva
1579,Salvador,4.5,86,chuva
1580,Goiania,28.0,81,poucas nuvens
1581,Porto Alegre,2.7,47,poucas nuvens
1582,Brasília,29.0,68,nuvens dispersas
1583,Manaus,36.9,36,nuvens quebradas
1584,Maceió,16.4,46,chuva
1585,São Paulo,-4.5,22,nuvens quebradas
1586,Manaus,9.6,31,céu limpo
1587,São Luís,36.7,97,nuvens dispersas
1588,Guarulhos,9.0,66,chuva leve
1589,Porto Alegre,32.9,25,trovoada
1590,Fortaleza,6.2,85,neve
1591,São Paulo,28.5,64,chuva leve
1592,Campinas,35.9,75,chuva
1593,Fortaleza,21.3,56,poucas nuvens
1594,São Luís,26.6,31,neve
1595,Recife,30.2,32,poucas nuvens
1596,Belo Horizonte,13.8,53,poucas nuvens
1597,Teresina,5.5,59,chuva
1598,Campinas,20.7,20,névoa
1599,Brasília,29.2,80,névoa
1600,Guarulhos,30.0,41,nuvens dispersas
1601,Maceió,34.3,70,neve
1602,Duque de Caxias,13.3,52,céu limpo
1603,Belém,31.2,31,céu limpo
1604,Duque de Caxias,12.2,85,trovoada
1605,Belo Horizonte,21.6,94,chuva leve
1606,Salvador,7.0,58,neve
1607,Manaus,32.3,74,névoa
1608,Brasília,11.0,74,névoa
1609,São Gonçalo,4.4,34,trovoada
1610,São Paulo,5.6,83,céu limpo
1611,Guarulhos,29.3,67,poucas nuvens
1612,Fortaleza,24.8,59,céu limpo
1613,Maceió,37.3,77,nuvens dispersas
1614,Goiania,7.6,54,névoa
1615,Brasília,14.8,79,trovoada
1616,São Luís,10.0,87,nuvens quebradas
1617,Brasília,21.5,59,céu limpo
1618,Manaus,15.9,83,nuvens quebradas
1619,Porto Alegre,16.6,78,nuvens quebradas
1620,Guarulhos,-0.7,55,céu limpo
1621,Curitiba,31.7,95,nuvens dispersas
1622,Rio de Janeiro,3.1,74,neve
1623,Manaus,37.1,91,céu limpo
1624,Brasília,31.2,31,nuvens dispersas
1625,Brasília,-3.1,96,poucas nuvens
1626,Rio de Janeiro,2.1,83,nuvens quebradas
1627,Natal,17.0,51,nuvens quebradas
1628,Natal,6.5,87,chuva leve
1629,Curitiba,13.0,48,céu limpo
1630,Recife,0.6,79,chuva
1631,Rio de Janeiro,6.7,88,neve
1632,Fortaleza,-3.1,49,névoa
1633,Rio de Janeiro,21.3,41,poucas nuvens
1634,Rio de Janeiro,34.7,38,trovoada
1635,São Luís,-3.5,63,nuvens quebradas
1636,Campinas,5.5,30,neve
1637,Duque de Caxias,2.5,31,chuva
1638,Campinas,0.2,45,neve
1639,Brasília,18.0,31,neve
1640,Maceió,26.0,89,trovoada
1641,Belo Horizonte,2.3,89,neve
1642,Curitiba,16.4,91,névoa
1643,Brasília,36.9,50,neve
1644,Recife,18.9,21,nuvens dispersas
1645,Belém,8.4,78,poucas nuvens
1646,Maceió,-3.6,35,neve
1647,Salvador,38.9,93,nuvens quebradas
1648,Goiania,16.5,68,nuvens quebradas
1649,Fortaleza,8.8,95,trovoada
1650,Campinas,37.0,96,chuva
1651,São Luís,20.0,91,nuvens dispersas
1652,Teresina,11.5,79,céu limpo
1653,Guarulhos,26.9,26,trovoada
1654,Curitiba,-3.0,73,trovoada
1655,Campinas,33.7,86,nuvens quebradas
1656,Fortaleza,2.2,61,nuvens dispersas
1657,Teresina,11.8,50,nuvens quebradas
1658,Recife,35.9,82,trovoada
1659,Campinas,24.1,31,poucas nuvens
1660,Belo Horizonte,29.8,83,neve
1661,Guarulhos,2.5,22,céu limpo
1662,São Paulo,37.5,53,nuvens quebradas
1663,Guarulhos,14.2,42,nuvens quebradas
1664,Guarulhos,-3.4,90,nuvens quebradas
1665,São Gonçalo,9.3,35,chuva leve
1666,Duque de Caxias,-0.9,72,chuva leve
1667,Manaus,33.6,23,céu limpo
1668,Guarulhos,-2.6,100,névoa
1669,São Gonçalo,17.6,28,nuvens dispersas
1670,Natal,4.8,85,névoa
1671,Campinas,-2.2,73,chuva
1672,Belém,-3.9,94,trovoada
1673,Rio de Janeiro,31.3,74,chuva
1674,Belém,10.7,49,nuvens dispersas
1675,Fortaleza,21.7,82,céu limpo
1676,Belo Horizonte,16.2,55,céu limpo
1677,Rio de Janeiro,39.8,31,neve
1678,Duque de Caxias,32.9,80,trovoada
1679,Recife,34.2,91,céu limpo
1680,Duque de Caxias,2.7,30,nuvens dispersas
1681,São Luís,-4.4,46,chuva
1682,São Gonçalo,12.9,46,neve
1683,Duque de Caxias,14.7,95,nuvens dispersas
1684,Teresina,5.2,73,céu limpo
1685,Duque de Caxias,2.8,24,chuva
1686,Natal,14.5,96,nuvens quebradas
1687,Fortaleza,0.7,60,céu limpo
1688,Curitiba,37.6,60,névoa
1689,São Gonçalo,5.3,29,nuvens dispersas
1690,Curitiba,8.5,37,poucas nuvens
1691,Recife,12.5,87,nuvens dispersas
1692,Teresina,-0.2,24,poucas nuvens
1693,Duque de Caxias,29.7,21,chuva
1694,São Luís,29.0,59,poucas nuvens
1695,São Gonçalo,8.6,63,nuvens quebradas
1696,Maceió,19.8,25,névoa
1697,Rio de Janeiro,30.9,26,chuva leve
1698,Porto Alegre,17.3,77,trovoada
1699,Campinas,-3.8,94,neve
1700,São Gonçalo,-1.4,32,nuvens dispersas
1701,Teresina,38.1,82,céu limpo
1702,Manaus,25.3,60,chuva leve
1703,Campinas,7.4,49,nuvens quebradas
1704,São Paulo,29.7,24,poucas nuvens
1705,Recife,13.7,99,poucas nuvens
1706,Porto Alegre,21.3,57,neve
1707,Curitiba,1.1,63,névoa
1708,Rio de Janeiro,18.1,30,poucas nuvens
1709,Guarulhos,21.5,29,nuvens quebradas
1710,Campinas,27.6,55,chuva
1711,Recife,37.9,24,neve
1712,São Luís,19.6,69,chuva leve
1713,Duque de Caxias,-3.4,91,chuva leve
1714,Goiania,0.3,100,chuva leve
1715,Duque de Caxias,2.3,40,chuva leve
1716,Salvador,1.7,94,névoa
1717,Duque de Caxias,34.8,48,nuvens quebradas
1718,São Gonçalo,34.8,85,neve
1719,Campinas,0.7,63,poucas nuvens
1720,Campinas,27.7,53,chuva
1721,Natal,0.0,67,nuvens quebradas
1722,Teresina,14.8,73,névoa
1723,Curitiba,4.1,60,nuvens dispersas
1724,Manaus,-4.4,50,chuva
1725,São Paulo,4.3,96,névoa
1726,São Luís,27.4,89,neve
1727,Belo Horizonte,12.5,56,nuvens dispersas
1728,Teresina,17.1,76,neve
1729,Porto Alegre,26.1,67,chuva
1730,Guarulhos,38.5,63,chuva
1731,Goiania,9.7,54,névoa
1732,Maceió,10.9,61,nuvens quebradas
1733,São Paulo,5.6,95,névoa
1734,Duque de Caxias,7.0,47,trovoada
1735,Curitiba,16.4,65,céu limpo
1736,Manaus,2.2,55,neve
1737,Salvador,25.7,85,neve
1738,São Gonçalo,-4.5,28,chuva leve
1739,São Luís,28.7,100,poucas nuvens
1740,Duque de Caxias,35.4,66,poucas nuvens
1741,Goiania,38.9,70,nuvens quebradas
1742,São Luís,23.2,90,nuvens dispersas
1743,Campinas,21.0,70,névoa
1744,Duque de Caxias,17.0,74,poucas nuvens
1745,Rio de Janeiro,34.2,60,chuva
1746,Belém,30.7,75,céu limpo
1747,Belo Horizonte,7.0,39,céu limpo
1748,São Gonçalo,28.9,27,chuva
1749,São Paulo,15.1,31,nuvens quebradas
1750,Belém,35.1,45,chuva leve
1751,Campinas,3.5,69,névoa
1752,Belém,25.3,98,nuvens quebradas
1753,Curitiba,29.7,50,trovoada
1754,Teresina,0.4,88,nuvens dispersas
1755,Recife,5.9,29,poucas nuvens
1756,Brasília,-4.3,51,névoa
1757,Recife,38.5,31,nuvens dispersas
1758,Salvador,0.6,39,trovoada
1759,Manaus,-0.1,38,nuvens quebradas
1760,Goiania,28.6,37,chuva
1761,Belém,13.0,42,nuvens dispersas
1762,Belém,0.6,69,trovoada
1763,Manaus,30.6,81,nuvens dispersas
1764,Porto Alegre,11.0,56,trovoada
1765,São Paulo,30.6,29,trovoada
1766,Belo Horizonte,1.9,40,chuva leve
1767,Maceió,9.0,63,poucas nuvens
1768,Duque de Caxias,13.5,37,neve
1769,Belo Horizonte,4.7,47,chuva
1770,Duque de Caxias,29.0,81,chuva leve
1771,Manaus,9.9,84,poucas nuvens
1772,São Gonçalo,26.9,67,céu limpo
1773,Porto Alegre,5.9,65,chuva leve
1774,Belém,27.2,40,chuva leve
1775,Duque de Caxias,15.2,84,chuva leve
1776,São Luís,32.3,94,nuvens dispersas
1777,Recife,27.7,63,chuva leve
1778,Salvador,-1.7,86,céu limpo
1779,Porto Alegre,4.5,60,nuvens quebradas
1780,São Gonçalo,0.4,37,trovoada
1781,Rio de Janeiro,-1.5,22,nuvens dispersas
1782,Brasília,3.5,92,névoa
1783,Guarulhos,15.9,79,neve
1784,Manaus,21.6,39,poucas nuvens
1785,Duque de Caxias,34.7,22,chuva leve
1786,São Gonçalo,-3.1,65,nuvens dispersas
1787,Campinas,23.3,82,céu limpo
1788,São Gonçalo,13.9,57,céu limpo
1789,Brasília,20.0,23,chuva
1790,Belo Horizonte,18.9,100,poucas nuvens
1791,Rio de Janeiro,28.5,24,chuva leve
1792,Campinas,23.3,59,trovoada
1793,Fortaleza,7.5,94,poucas nuvens
1794,São Gonçalo,-1.9,96,neve
1795,Belém,6.3,50,nuvens quebradas
1796,Porto Alegre,37.3,67,nuvens dispersas
1797,Goiania,3.6,40,céu limpo
1798,Brasília,39.3,84,nuvens dispersas
1799,Fortaleza,36.6,23,neve
1800,Goiania,4.8,76,chuva leve
1801,Duque de Caxias,11.7,53,nuvens dispersas
1802,São Luís,30.8,66,céu limpo
1803,Campinas,22.9,62,chuva
1804,São Paulo,7.5,97,trovoada
1805,Duque de Caxias,37.5,93,céu limpo
1806,Belo Horizonte,-4.7,98,céu limpo
1807,Curitiba,12.7,89,céu limpo
1808,Goiania,11.1,23,céu limpo
1809,Natal,-3.8,87,nuvens quebradas
1810,São Gonçalo,39.3,41,poucas nuvens
1811,Teresina,25.8,76,neve
1812,Natal,23.1,88,céu limpo
1813,Belo Horizonte,29.3,30,chuva leve
1814,Curitiba,19.4,67,nuvens dispersas
1815,São Paulo,-2.0,25,chuva
1816,Guarulhos,-3.8,90,neve
1817,Natal,30.8,49,céu limpo
1818,Fortaleza,21.8,48,céu limpo
1819,Campinas,20.3,58,neve
1820,Belo Horizonte,4.6,24,chuva
1821,Goiania,36.9,83,céu limpo
1822,Brasília,24.6,62,neve
1823,Fortaleza,18.0,60,nuvens quebradas
1824,Fortaleza,12.0,73,poucas nuvens
1825,Guarulhos,20.6,52,névoa
1826,Campinas,35.6,85,nuvens quebradas
1827,Maceió,10.6,57,trovoada
1828,Fortaleza,3.8,87,neve
1829,Rio de Janeiro,-4.8,25,nuvens quebradas
1830,Maceió,31.3,74,chuva
1831,Fortaleza,-0.8,20,nuvens dispersas
1832,Recife,30.9,85,céu limpo
1833,Teresina,3.0,26,céu limpo
1834,Campinas,27.4,90,nuvens quebradas
1835,Porto Alegre,27.0,57,nuvens dispersas
1836,Teresina,36.9,49,céu limpo
1837,Maceió,12.1,85,névoa
1838,Curitiba,16.9,42,poucas nuvens
1839,Teresina,13.0,25,poucas nuvens
1840,Fortaleza,20.4,70,poucas nuvens
1841,Duque de Caxias,12.9,27,poucas nuvens
1842,Curitiba,11.6,90,trovoada
1843,Campinas,-4.0,70,chuva leve
1844,Natal,33.1,94,céu limpo
1845,Manaus,10.1,43,neve
1846,Rio de Janeiro,0.8,59,chuva leve
1847,Brasília,31.3,57,trovoada
1848,Goiania,13.1,97,chuva
1849,Natal,-4.7,43,poucas nuvens
1850,Belo Horizonte,34.0,34,chuva
1851,Salvador,21.6,46,poucas nuvens
1852,Brasília,17.6,58,nuvens quebradas
1853,Brasília,12.5,81,chuva
1854,São Luís,31.9,23,chuva
1855,Maceió,20.7,34,trovoada
1856,Salvador,20.9,34,céu limpo
1857,Maceió,6.2,29,nuvens dispersas
1858,São Gonçalo,14.4,92,trovoada
1859,Duque de Caxias,29.4,24,chuva leve
1860,Fortaleza,7.4,46,nuvens dispersas
1861,Natal,-4.8,22,trovoada
1862,Guarulhos,31.9,64,chuva
1863,São Paulo,14.5,39,nuvens quebradas
1864,Goiania,32.0,35,névoa
1865,Rio de Janeiro,30.2,28,chuva leve
1866,São Gonçalo,21.5,83,poucas nuvens
1867,Porto Alegre,7.2,57,trovoada
1868,Duque de Caxias,16.6,23,céu limpo
1869,Guarulhos,3.9,62,chuva leve
1870,Salvador,38.2,44,poucas nuvens
1871,Guarulhos,-2.6,41,chuva
1872,Duque de Caxias,34.9,27,trovoada
1873,Belo Horizonte,4.5,26,chuva
1874,Goiania,32.1,97,céu limpo
1875,Rio de Janeiro,1.9,32,nuvens dispersas
1876,Campinas,18.5,71,trovoada
1877,São Luís,2.3,81,chuva leve
1878,Recife,37.6,67,trovoada
1879,Campinas,23.1,52,neve
1880,Natal,9.2,20,chuva leve
1881,Brasília,30.0,22,névoa
1882,Rio de Janeiro,22.0,54,nuvens dispersas
1883,Manaus,34.3,99,nuvens dispersas
1884,Belo Horizonte,36.4,62,nuvens dispersas
1885,Belém,36.4,36,poucas nuvens
1886,São Luís,8.1,74,chuva leve
1887,Fortaleza,-2.9,99,chuva leve
1888,Rio de Janeiro,27.5,30,trovoada
1889,Goiania,4.7,34,nuvens quebradas
1890,Salvador,22.2,88,nuvens quebradas
1891,Maceió,8.0,47,névoa
1892,Curitiba,22.6,92,trovoada
1893,Campinas,33.0,73,trovoada
1894,Goiania,4.1,65,neve
1895,São Gonçalo,2.5,41,chuva leve
1896,Rio de Janeiro,31.5,42,chuva leve
1897,Duque de Caxias,13.9,33,nuvens quebradas
1898,Maceió,7.6,69,névoa
1899,São Luís,24.4,90,neve
1900,Goiania,5.3,54,poucas nuvens
1901,Maceió,27.4,85,neve
1902,Guarulhos,23.4,84,nuvens quebradas
1903,Campinas,34.6,85,poucas nuvens
1904,Guarulhos,21.9,39,chuva leve
1905,Curitiba,-2.5,74,chuva leve
1906,Natal,31.2,79,nuvens dispersas
1907,Brasília,14.4,95,céu limpo
1908,Teresina,30.4,86,poucas nuvens
1909,Teresina,34.2,61,trovoada
1910,Salvador,28.5,34,neve
1911,Belo Horizonte,12.1,93,nuvens dispersas
1912,São Gonçalo,3.7,64,chuva
1913,Belo Horizonte,17.2,30,céu limpo
1914,São Gonçalo,29.5,62,nuvens quebradas
1915,São Gonçalo,4.0,88,trovoada
1916,Recife,6.9,76,chuva leve
1917,São Gonçalo,2.0,77,céu limpo
1918,Teresina,27.8,99,céu limpo
1919,São Paulo,18.8,75,trovoada
1920,Guarulhos,13.7,77,céu limpo
1921,Natal,13.1,94,céu limpo
1922,Porto Alegre,2.7,81,nuvens dispersas
1923,São Paulo,35.1,25,poucas nuvens
1924,São Luís,29.2,90,névoa
1925,Salvador,26.7,88,poucas nuvens
1926,São Luís,24.2,52,céu limpo
1927,Brasília,11.6,97,chuva
1928,São Paulo,8.0,46,chuva
1929,Brasília,10.1,26,chuva
1930,Campinas,13.7,70,neve
1931,Teresina,26.9,29,poucas nuvens
1932,São Gonçalo,17.5,42,poucas nuvens
1933,Maceió,-1.3,83,poucas nuvens
1934,Natal,-5.0,21,nuvens dispersas
1935,Maceió,8.0,29,névoa
1936,Belém,18.8,43,chuva
1937,Curitiba,28.6,85,neve
1938,Teresina,35.7,57,chuva leve
1939,São Paulo,35.2,46,céu limpo
1940,Duque de Caxias,37.1,98,céu limpo
1941,Fortaleza,37.6,79,céu limpo
1942,Goiania,26.0,67,névoa
1943,Maceió,18.8,89,neve
1944,Manaus,29.3,79,poucas nuvens
1945,Teresina,4.5,45,névoa
1946,Belém,25.0,51,chuva leve
1947,Brasília,39.8,69,chuva leve
1948,São Gonçalo,2.8,37,chuva
1949,Belém,-3.6,84,neve
1950,Natal,10.9,57,nuvens dispersas
1951,Salvador,2.0,83,céu limpo
1952,Campinas,35.3,22,céu limpo
1953,São Gonçalo,38.7,95,névoa
1954,Teresina,-3.7,96,névoa
1955,Guarulhos,24.5,69,poucas nuvens
1956,Natal,0.7,49,neve
1957,Recife,4.1,35,céu limpo
1958,Recife,31.3,62,chuva
1959,Maceió,1.6,71,nuvens quebradas
1960,São Luís,19.3,45,trovoada
1961,Porto Alegre,19.3,41,poucas nuvens
1962,Recife,39.2,30,neve
1963,Belém,19.7,78,névoa
1964,São Luís,27.6,39,poucas nuvens
1965,São Gonçalo,6.6,100,chuva leve
1966,Fortaleza,14.0,40,névoa
1967,Goiania,27.2,24,nuvens dispersas
1968,Campinas,10.8,90,nuvens quebradas
1969,Recife,12.1,83,chuva
1970,São Gonçalo,22.5,36,poucas nuvens
1971,São Gonçalo,-1.3,27,céu limpo
1972,Belo Horizonte,20.7,78,nuvens quebradas
1973,Campinas,32.7,28,nuvens quebradas
1974,Curitiba,33.6,23,trovoada
1975,Teresina,20.9,88,céu limpo
1976,Campinas,25.2,82,chuva leve
1977,Natal,37.5,76,névoa
1978,São Gonçalo,31.1,85,nuvens quebradas
1979,Belém,14.8,71,névoa
1980,Teresina,16.5,51,neve
1981,Curitiba,-2.0,25,trovoada
1982,Guarulhos,19.2,30,nuvens dispersas
1983,Duque de Caxias,20.2,80,chuva leve
1984,Curitiba,7.1,77,chuva leve
1985,Recife,-2.0,58,chuva
1986,Teresina,34.1,55,neve
1987,Campinas,4.0,93,céu limpo
1988,Natal,17.7,38,céu limpo
1989,Guarulhos,35.9,23,névoa
1990,Goiania,12.8,63,neve
1991,Manaus,23.6,66,nuvens quebradas
1992,Maceió,27.4,39,poucas nuvens
1993,Natal,37.6,41,céu limpo
1994,Manaus,11.3,71,trovoada
1995,Duque de Caxias,0.2,25,poucas nuvens
1996,Salvador,31.9,45,chuva
1997,Maceió,28.3,44,nuvens dispersas
1998,Maceió,6.7,84,névoa
1999,Fortaleza,22.5,40,trovoada
2000,São Paulo,30.3,76,chuva
2001,Goiania,14.1,28,nuvens quebradas
2002,Belém,34.3,96,céu limpo
2003,Recife,23.0,32,nuvens dispersas
2004,Campinas,1.6,24,nuvens dispersas
2005,Salvador,4.1,43,céu limpo
2006,Goiania,8.9,74,céu limpo
2007,Duque de Caxias,25.2,49,chuva
2008,Salvador,14.0,33,neve
2009,Curitiba,7.2,30,chuva
2010,Belém,37.9,79,neve
2011,São Paulo,40.0,28,poucas nuvens
2012,Salvador,3.0,38,chuva leve
2013,São Gonçalo,-0.6,57,trovoada
2014,São Paulo,-2.3,75,trovoada
2015,Manaus,15.0,66,chuva
2016,Belo Horizonte,16.0,89,neve
2017,São Paulo,0.6,85,trovoada
2018,Duque de Caxias,-3.8,57,nuvens dispersas
2019,Campinas,36.1,50,chuva leve
2020,Recife,-3.2,51,céu limpo
